gold_label	sentence1	sentence2	pairID
contradiction	Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.	I havent spoken to him again.	4
entailment	Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.	I was so upset that I just started talking to him again.	5
neutral	Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.	We had a great talk.	6
neutral	And I thought that was a privilege, and it's still, it's still, I was the only nine two-two Ex-O which was my AFFC Air Force Career field.	I was not aware that I was not the only person to be at the field that day.	7
entailment	And I thought that was a privilege, and it's still, it's still, I was the only nine two-two Ex-O which was my AFFC Air Force Career field.	I was under the impression that I was the only one with that number at the AFFC Air Force Career field.	8
contradiction	And I thought that was a privilege, and it's still, it's still, I was the only nine two-two Ex-O which was my AFFC Air Force Career field.	We all were given the same exact number no matter what privileges we were promised to be granted, it was all a lie.	9
contradiction	They told me that, uh, that I would be called in a guy at the end for me to meet.	I was never told anything about meeting anyone.	10
entailment	They told me that, uh, that I would be called in a guy at the end for me to meet.	I was told a guy would be called in for me to meet.	11
neutral	They told me that, uh, that I would be called in a guy at the end for me to meet.	The guy showed up a bit late.	12
entailment	There's so much you could talk about on that I'll just skip that.	I won't talk about that, even though there's a lot to cover.	14
neutral	There's so much you could talk about on that I'll just skip that.	I wont talk about the history of the city because there's too much to say.	15
contradiction	That was the primary thing we wanted to save since there wasn't any way to dump a 20-megaton H-bomb off a 30, a C124.	We didn't care about saving anything.	19
entailment	That was the primary thing we wanted to save since there wasn't any way to dump a 20-megaton H-bomb off a 30, a C124.	We wanted to save one thing more than the rest.	20
neutral	That was the primary thing we wanted to save since there wasn't any way to dump a 20-megaton H-bomb off a 30, a C124.	We wanted to save the h-bomb because it was so hard to deal with.	21
contradiction	So I'm not really sure why.	I am certain as to the reason why.	28
neutral	So I'm not really sure why.	I don't know why he transferred schools.	29
entailment	So I'm not really sure why.	I don't know why that happened.	30
contradiction	This is Fannie Flono, and she grew up in Ag-- Augusta, GA, and she is going to talk about some stories from her childhood.	Fannie Flono had to reschedule and is unable to tell us any stories today.	34
neutral	This is Fannie Flono, and she grew up in Ag-- Augusta, GA, and she is going to talk about some stories from her childhood.	Fannie Flono was able to speak to us today despite her busy schedule.	36
entailment	And I had put uh, five detachments out of U2's.	I dealt with the U2's.	40
contradiction	And I had put uh, five detachments out of U2's.	I didn't' deal with the U2's at all.	41
neutral	And I had put uh, five detachments out of U2's.	I worked with the detachments for the U2's every day for forty years.	42
contradiction	I'm uh, Chief Master Sergeant, retired, as Rick said.	I am still working to this day.	46
neutral	I'm uh, Chief Master Sergeant, retired, as Rick said.	I retired in 2002.	47
entailment	I'm uh, Chief Master Sergeant, retired, as Rick said.	Rick told you I was retired.	48
neutral	There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.	The client named Cutty makes $10000 a month.	52
entailment	There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.	There is a client named Cutty.	53
entailment	The girl that can help me is all the way across town.	The girl I need help from lives a ways away.	55
neutral	The girl that can help me is all the way across town.	The girl who is going to help me is 5 miles away.	56
contradiction	The girl that can help me is all the way across town.	There is no one who can help me.	57
contradiction	But they were divided about like who were the field hands and who were the house kids, it was kind of--	They all agreed that they'd all work in the fields.	61
entailment	But they were divided about like who were the field hands and who were the house kids, it was kind of--	They couldn't agree about who was a field hand and who belonged in the house.	62
neutral	But they were divided about like who were the field hands and who were the house kids, it was kind of--	They couldn't agree who should work in the cotton field and who should mop the floors.	63
contradiction	Today he is going to talk to us about the Third SS, the U2 Quick and the Blackbird.	He has decided not to talk anymore.	67
neutral	Today he is going to talk to us about the Third SS, the U2 Quick and the Blackbird.	He talks about three different submarines.	68
entailment	Today he is going to talk to us about the Third SS, the U2 Quick and the Blackbird.	He talks about three things.	69
contradiction	I mean they only had, like, they had five children, one of them died.	All of their children survived.	70
neutral	I mean they only had, like, they had five children, one of them died.	The child who died was born sickly.	72
entailment	And, of course, Androv Gromikov didn't answer anything, but we had all the information from the films the U2 had taken.	The U2 took a lot of film.	73
neutral	And, of course, Androv Gromikov didn't answer anything, but we had all the information from the films the U2 had taken.	The U2 took a ton of film from under the water.	74
contradiction	And, of course, Androv Gromikov didn't answer anything, but we had all the information from the films the U2 had taken.	We had no footage, so we just had to guess.	75
entailment	She said there were just tears coming down from her eyes and she said, then she said Joe came up on the porch.	As she told him to come up the porch she had tears in her eyes.	76
contradiction	She said there were just tears coming down from her eyes and she said, then she said Joe came up on the porch.	She quickly wiped away the tears after flinging Joe off the porch.	77
neutral	She said there were just tears coming down from her eyes and she said, then she said Joe came up on the porch.	She was so happy to see Joe that she started to cry.	78
neutral	Even if the aircraft was on fire, why it, it would uh, burn and it would melt through a lead component for the radiation to leak out.	The radiation can be contained during a fire as well.	79
entailment	Even if the aircraft was on fire, why it, it would uh, burn and it would melt through a lead component for the radiation to leak out.	The radiation would leak out from a lead component after the aircraft burned.	80
contradiction	Even if the aircraft was on fire, why it, it would uh, burn and it would melt through a lead component for the radiation to leak out.	The radiation would not leak out during a fire.	81
entailment	This is Chief Master Sergeant Clem Francis, retired from the US Air Force.	The Chief is retired from the US Air Force.	88
neutral	This is Chief Master Sergeant Clem Francis, retired from the US Air Force.	The Chief just recently retired a few weeks ago.	89
contradiction	This is Chief Master Sergeant Clem Francis, retired from the US Air Force.	The US Air Force Chief just started his career this week.	90
entailment	Well it got to where there's two or three aircraft arrive in a week and I didn't know where they're flying to.	More than one aircraft arrive every week.	91
neutral	Well it got to where there's two or three aircraft arrive in a week and I didn't know where they're flying to.	The increased aircraft traffic is troublesome.	92
contradiction	Well it got to where there's two or three aircraft arrive in a week and I didn't know where they're flying to.	There are never any aircraft arriving.	93
neutral	They had already had their training in the full pressure suits and it taken me a while if you go into full pressure suits.	It takes up to three months to complete training on the use of a full pressure suit.	94
entailment	They had already had their training in the full pressure suits and it taken me a while if you go into full pressure suits.	Training to use a full pressure suit takes time.	95
contradiction	They had already had their training in the full pressure suits and it taken me a while if you go into full pressure suits.	We could have you trained to use a full pressure suit by the end of the day.	96
neutral	I want to say that there wasn't any danger of going in with the bomb because it would not explode, regardless of how hard it hit the ground.	The bomb had been deactivated by the pilot.	106
entailment	I want to say that there wasn't any danger of going in with the bomb because it would not explode, regardless of how hard it hit the ground.	The bomb had no chance of exploding.	107
contradiction	I want to say that there wasn't any danger of going in with the bomb because it would not explode, regardless of how hard it hit the ground.	There was a great danger of the bomb exploding.	108
contradiction	And how about it looks like exactly what I'm trying to do.	I'm not sure what this looks like to you.	109
entailment	And how about it looks like exactly what I'm trying to do.	I'm trying to do this, obviously.	110
neutral	And how about it looks like exactly what I'm trying to do.	I'm trying to finish my project in the next week.	111
neutral	But anyway, the animals would get loose all the time, especially the goats.	The goats escaped from the barn every day.	112
entailment	But anyway, the animals would get loose all the time, especially the goats.	The goats escaped often.	113
contradiction	But anyway, the animals would get loose all the time, especially the goats.	The goats were kept safe and secure.	114
contradiction	The doors were locked when we went in.	All of the doors were open.	118
entailment	The doors were locked when we went in.	We went in even though the doors were locked.	120
neutral	So I just had to take the totals and try and figure it like that.	I feel confident that the totals are all I need to get this figured out.	127
contradiction	So I just had to take the totals and try and figure it like that.	I have no clue what to do with just the totals please give me more details to figure out this mess.	128
entailment	So I just had to take the totals and try and figure it like that.	I will calculate it based off of the totals.	129
contradiction	He came, he opened the door and I remember looking back and seeing the expression on his face, and I could tell that he was disappointed.	He was so excited and bursting with joy that he practically knocked the door off it's frame.	130
entailment	He came, he opened the door and I remember looking back and seeing the expression on his face, and I could tell that he was disappointed.	Just by the look on his face when he came through the door I just knew that he was let down.	132
entailment	So, I don't have any specific stories.	I dont have a particular store.	133
contradiction	So, I don't have any specific stories.	I have 1 specific store.	134
neutral	So, I don't have any specific stories.	There are a lot of stores.	135
contradiction	And it was, he never really had to do anything for himself.	He is very independent.	144
contradiction	So I'm like, Oh my gosh, and Ramona was standing there.	Ramona was on the floor curled up in a fetal position.	148
neutral	So I'm like, Oh my gosh, and Ramona was standing there.	Ramona was silently judging me.	149
entailment	So I'm like, Oh my gosh, and Ramona was standing there.	Ramona was upright while I was there in awe.	150
neutral	And the fact is she was light!	She ate a lot of food, but still kept her weight down.	154
entailment	And the fact is she was light!	She did not weigh much at all.	155
contradiction	And the fact is she was light!	She was very happy.	156
entailment	I don't know whether he stayed in Augusta after that.	He continued to live in Augusta.	164
neutral	All we done, they never did tell us any place where they was going, even when they left the base to go to somewhere else to stay for a while.	I never asked where they were going.	166
contradiction	All we done, they never did tell us any place where they was going, even when they left the base to go to somewhere else to stay for a while.	They always let us know where they were and where they were going.	167
contradiction	They said, We're paying for a place for you to stay.	They won't pay for anything forus.	175
neutral	They said, We're paying for a place for you to stay.	They're paying for housing for me and my siblings.	176
entailment	They said, We're paying for a place for you to stay.	They're paying for housing.	177
entailment	Well, the next day, of course, President Kennedy, uh, blockaded Cuba, and, uh, our ships stopped a Russian ship that was headed just outside of Cuba within, and they found missiles on them.	Kennedy told our troops to look for missiles.	178
contradiction	Well, the next day, of course, President Kennedy, uh, blockaded Cuba, and, uh, our ships stopped a Russian ship that was headed just outside of Cuba within, and they found missiles on them.	They didn't stop any ships because they didn't want conflict.	179
neutral	Well, the next day, of course, President Kennedy, uh, blockaded Cuba, and, uh, our ships stopped a Russian ship that was headed just outside of Cuba within, and they found missiles on them.	They found 20 missiles on the ship.	180
neutral	Anyhow the man comes in.	The man entered the courtroom.	181
entailment	Anyhow the man comes in.	The man entered the room.	182
neutral	Um, my grandparents were always very, very loving people and some of, my parents were and we'd just have a great time down there.	It took a long time to drive to my grandparent's house.	184
entailment	Um, my grandparents were always very, very loving people and some of, my parents were and we'd just have a great time down there.	My grandparents were a very loving couple.	185
neutral	I didn't have time to enter in all kinds of whatever.	I could have finished entering it in later.	196
contradiction	I didn't have time to enter in all kinds of whatever.	I entered it in all on time.	197
entailment	I didn't have time to enter in all kinds of whatever.	I ran out of time to enter it all in.	198
contradiction	And, uh, one of my jobs at the time was training individuals how to put parachutes on a nuclear weapons trigger to, uh, which detonates the atomic bomb itself.	The atomic bomb has no trigger.	199
entailment	And, uh, one of my jobs at the time was training individuals how to put parachutes on a nuclear weapons trigger to, uh, which detonates the atomic bomb itself.	The trigger detonates the bomb when it's pulled.	200
neutral	And, uh, one of my jobs at the time was training individuals how to put parachutes on a nuclear weapons trigger to, uh, which detonates the atomic bomb itself.	You only need a tiny bit of force to pull the atomic bomb trigger.	201
neutral	My grandmother used to tell me a lot of different stories about her growing-up years and, uh, especially, uh, she used to talk about her family, and what it was like during those times.	I always enjoyed listening to my grandmother's stories.	202
entailment	My grandmother used to tell me a lot of different stories about her growing-up years and, uh, especially, uh, she used to talk about her family, and what it was like during those times.	My grandmother told me lots of stuff about her family during the time that she was growing up.	204
contradiction	We had full pressure suits there in the aircraft just, just like the astronauts wore, except ours was totally silver, silver uh, boot and everything, to reflect heat, of course.	Our suits were nothing like what the astronauts had.	205
entailment	We had full pressure suits there in the aircraft just, just like the astronauts wore, except ours was totally silver, silver uh, boot and everything, to reflect heat, of course.	Our suits were the same as the astronauts except to reflect heat, ours were silver.	206
neutral	We had full pressure suits there in the aircraft just, just like the astronauts wore, except ours was totally silver, silver uh, boot and everything, to reflect heat, of course.	You can get the suits in any color you want.	207
entailment	And he was, my grandfather was not a nice man.	My grandpa was a jerk.	208
neutral	And he was, my grandfather was not a nice man.	My grandpa was really racist and mean.	209
contradiction	And he was, my grandfather was not a nice man.	My grandpa was the nicest guy you'll ever meet!	210
contradiction	It's 30 or 40 U2 aircraft, and we'd started the training Chinese pilots, British pilots in them, just all over the, the world that we were allies with.	We had no training with anyone.	211
neutral	It's 30 or 40 U2 aircraft, and we'd started the training Chinese pilots, British pilots in them, just all over the, the world that we were allies with.	We trained for 5 weeks with the British.	212
