gold_label	English	German	Spanish	Swahili	Urdu	pairID
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	4
entailment	entailment	entailment	entailment	entailment	contradiction	5
neutral	neutral	neutral	contradiction	contradiction	neutral	6
neutral	neutral	neutral	contradiction	neutral	entailment	7
entailment	entailment	entailment	entailment	neutral	contradiction	8
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	9
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	10
entailment	entailment	entailment	neutral	entailment	contradiction	11
neutral	neutral	neutral	neutral	entailment	neutral	12
entailment	entailment	entailment	entailment	neutral	contradiction	14
neutral	neutral	neutral	neutral	neutral	neutral	15
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	19
entailment	entailment	entailment	entailment	neutral	entailment	20
neutral	neutral	neutral	neutral	neutral	neutral	21
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	28
neutral	neutral	neutral	neutral	neutral	neutral	29
entailment	entailment	entailment	entailment	entailment	entailment	30
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	34
neutral	neutral	neutral	neutral	neutral	neutral	36
entailment	entailment	entailment	entailment	contradiction	neutral	40
contradiction	contradiction	contradiction	contradiction	contradiction	neutral	41
neutral	neutral	contradiction	neutral	neutral	neutral	42
contradiction	contradiction	contradiction	contradiction	neutral	contradiction	46
neutral	neutral	neutral	neutral	contradiction	neutral	47
entailment	entailment	entailment	entailment	neutral	contradiction	48
neutral	neutral	neutral	neutral	neutral	neutral	52
entailment	entailment	entailment	entailment	entailment	contradiction	53
entailment	entailment	entailment	entailment	contradiction	contradiction	55
neutral	neutral	neutral	neutral	neutral	neutral	56
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	57
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	61
entailment	entailment	entailment	entailment	neutral	contradiction	62
neutral	neutral	neutral	neutral	neutral	neutral	63
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	67
neutral	entailment	entailment	entailment	neutral	entailment	68
entailment	entailment	entailment	entailment	entailment	entailment	69
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	70
neutral	neutral	neutral	neutral	neutral	neutral	72
entailment	entailment	neutral	neutral	entailment	neutral	73
neutral	neutral	neutral	neutral	neutral	neutral	74
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	75
entailment	entailment	entailment	entailment	neutral	contradiction	76
contradiction	neutral	neutral	contradiction	contradiction	neutral	77
neutral	neutral	neutral	neutral	contradiction	neutral	78
neutral	contradiction	entailment	entailment	neutral	entailment	79
entailment	entailment	entailment	entailment	neutral	contradiction	80
contradiction	contradiction	contradiction	contradiction	contradiction	neutral	81
entailment	entailment	entailment	entailment	entailment	entailment	88
neutral	neutral	contradiction	neutral	neutral	neutral	89
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	90
entailment	entailment	entailment	entailment	entailment	entailment	91
neutral	neutral	neutral	neutral	neutral	neutral	92
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	93
neutral	neutral	neutral	neutral	neutral	neutral	94
entailment	entailment	entailment	entailment	neutral	neutral	95
contradiction	neutral	neutral	neutral	neutral	neutral	96
neutral	neutral	neutral	neutral	neutral	neutral	106
entailment	entailment	entailment	entailment	neutral	entailment	107
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	108
contradiction	contradiction	neutral	neutral	neutral	neutral	109
entailment	entailment	neutral	contradiction	entailment	entailment	110
neutral	neutral	neutral	neutral	neutral	neutral	111
neutral	neutral	neutral	contradiction	contradiction	neutral	112
entailment	entailment	entailment	neutral	contradiction	entailment	113
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	114
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	118
