gold_label	English	German	Spanish	Swahili	Urdu	pairID
contradiction	contradiction	contradiction	contradiction	contradiction	entailment	4
entailment	entailment	entailment	entailment	entailment	contradiction	5
neutral	neutral	neutral	contradiction	contradiction	contradiction	6
neutral	neutral	neutral	neutral	neutral	neutral	7
entailment	entailment	entailment	entailment	entailment	neutral	8
contradiction	contradiction	contradiction	contradiction	contradiction	neutral	9
contradiction	contradiction	contradiction	contradiction	contradiction	neutral	10
entailment	entailment	entailment	entailment	neutral	contradiction	11
neutral	neutral	neutral	neutral	entailment	contradiction	12
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	13
entailment	entailment	contradiction	contradiction	contradiction	neutral	14
neutral	neutral	neutral	neutral	neutral	neutral	15
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	19
entailment	entailment	entailment	entailment	neutral	neutral	20
neutral	neutral	neutral	neutral	neutral	neutral	21
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	28
neutral	neutral	neutral	neutral	neutral	neutral	29
entailment	entailment	entailment	neutral	entailment	entailment	30
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	34
entailment	entailment	entailment	contradiction	entailment	neutral	35
neutral	neutral	neutral	contradiction	neutral	neutral	36
entailment	entailment	entailment	entailment	contradiction	neutral	40
contradiction	contradiction	contradiction	contradiction	contradiction	neutral	41
neutral	neutral	contradiction	neutral	neutral	neutral	42
neutral	neutral	neutral	neutral	neutral	neutral	43
entailment	entailment	entailment	entailment	entailment	neutral	44
contradiction	contradiction	neutral	neutral	neutral	neutral	45
contradiction	contradiction	contradiction	contradiction	neutral	contradiction	46
neutral	neutral	neutral	neutral	contradiction	neutral	47
entailment	entailment	entailment	entailment	contradiction	contradiction	48
neutral	neutral	neutral	neutral	neutral	neutral	52
entailment	entailment	entailment	entailment	entailment	contradiction	53
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	54
entailment	entailment	entailment	entailment	neutral	contradiction	55
neutral	neutral	neutral	neutral	neutral	neutral	56
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	57
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	61
entailment	entailment	entailment	entailment	neutral	neutral	62
neutral	neutral	neutral	neutral	contradiction	neutral	63
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	67
neutral	entailment	entailment	entailment	entailment	entailment	68
entailment	entailment	entailment	entailment	entailment	entailment	69
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	70
entailment	entailment	entailment	entailment	entailment	neutral	71
neutral	neutral	neutral	neutral	neutral	neutral	72
entailment	neutral	neutral	neutral	neutral	neutral	73
neutral	neutral	neutral	neutral	neutral	neutral	74
contradiction	contradiction	contradiction	contradiction	contradiction	contradiction	75
entailment	entailment	entailment	entailment	neutral	contradiction	76
contradiction	contradiction	contradiction	contradiction	contradiction	neutral	77
neutral	neutral	neutral	neutral	contradiction	neutral	78
