language,sentence1,sentence2,pairID
de,"Nun, daran dachte ich nicht einmal, aber ich war so frustriert, dass ich am Ende doch mit ihm redete.",Ich habe nicht wieder mit ihm gesprochen.,4
de,"Nun, daran dachte ich nicht einmal, aber ich war so frustriert, dass ich am Ende doch mit ihm redete.","Ich war so mitgenommen, dass ich einfach wieder anfing mit ihm zu reden.",5
de,"Nun, daran dachte ich nicht einmal, aber ich war so frustriert, dass ich am Ende doch mit ihm redete.",Wir hatten ein tolles Gespräch.,6
de,"„Und ich dachte, das wäre ein Privileg, und das ist es immer noch, das ist esi mmer noch. Ich war der einzige 229 Ex-O, was mein AFCF Air Force-Karriere-Feld war.“","Mir war nicht bewusst, dass ich nicht die einzige Person auf dem Feld war an diesem Tag.",7
de,"„Und ich dachte, das wäre ein Privileg, und das ist es immer noch, das ist esi mmer noch. Ich war der einzige 229 Ex-O, was mein AFCF Air Force-Karriere-Feld war.“","Ich hatte den Eindruck, dass ich im AFCF Air Force Career Field der einzige mit dieser Nummer war.",8
de,"„Und ich dachte, das wäre ein Privileg, und das ist es immer noch, das ist esi mmer noch. Ich war der einzige 229 Ex-O, was mein AFCF Air Force-Karriere-Feld war.“","Uns wurde allen die gleiche Anzahl gegeben, unabhängig davon, was für Privilegien uns vorher versprochen worden waren. Es war alles gelogen.",9
de,"Sie sagten mir, dass ich am Ende von einem Kerl angerufen werden würde, um mich zu treffen.","Mir wurde nie gesagt, dass ich jemanden treffen würde.",10
de,"Sie sagten mir, dass ich am Ende von einem Kerl angerufen werden würde, um mich zu treffen.","Mir wurde gesagt, dass ein Typ Bescheid bekommen würde, sich mit mir zu treffen.",11
de,"Sie sagten mir, dass ich am Ende von einem Kerl angerufen werden würde, um mich zu treffen.",Der Typ kam etwas spät.,12
de,"Es gibt so viel was ich darüber erzählen könnte, ich überspringe das einfach.","Ich möchte dir alles erzählen, was ich darüber weiß!",13
de,"Es gibt so viel was ich darüber erzählen könnte, ich überspringe das einfach.","Ich werde nicht darüber reden, obwohl es viel zu decken gibt.",14
de,"Es gibt so viel was ich darüber erzählen könnte, ich überspringe das einfach.","Ich werde nicht über die Geschichte der Stadt sprechen, weil es zu viel zu sagen gibt.",15
de,"Es war das Wichtigste was wir sichern wollten da es keine Möglichkeit gab eine 20 Megatonnen- H- Bombe ab zu werfen von einem 30, C124.",Uns war es egal etwas zu retten.,19
de,"Es war das Wichtigste was wir sichern wollten da es keine Möglichkeit gab eine 20 Megatonnen- H- Bombe ab zu werfen von einem 30, C124.",Wir wollten eine Sache mehr retten als die Restlichen.,20
de,"Es war das Wichtigste was wir sichern wollten da es keine Möglichkeit gab eine 20 Megatonnen- H- Bombe ab zu werfen von einem 30, C124.","Wir wollten uns die h-Bombe aufsparen, weil es so schwer war, damit umzugehen",21
de,Ich bin mir also nicht wirklich sicher warum.,Ich bin mir bezüglich des Grundes sicher.,28
de,Ich bin mir also nicht wirklich sicher warum.,"Ich weiß nicht, warum er die Schule gewechselt hat.",29
de,Ich bin mir also nicht wirklich sicher warum.,"Ich weiß nicht, warum das passiert ist.",30
de,"Das ist Fannie Flono, sie ist aufgewachsen in Ag--Augusta, GA, und wird über einige Erinnerungen aus ihrer Kindheit sprechen.",Fannie Flono musste umplanen und kann uns heute keine Geschichten erzählen.,34
de,"Das ist Fannie Flono, sie ist aufgewachsen in Ag--Augusta, GA, und wird über einige Erinnerungen aus ihrer Kindheit sprechen.","Fannie Flono ist hier und sie wird mit uns über ihre Kindheitserfahrungen sprechen als  sie in Augusta, GA, aufgewachsen ist.",35
de,"Das ist Fannie Flono, sie ist aufgewachsen in Ag--Augusta, GA, und wird über einige Erinnerungen aus ihrer Kindheit sprechen.",Fannie Flono konnte heute trotz ihres vollen Terminkalenders mit uns sprechen.,36
de,"Und ich hatte äh, fünf Abteilungen von U2",Ich habe mich mit den U2 beschäftigt.,40
de,"Und ich hatte äh, fünf Abteilungen von U2",Ich habe mich überhaupt nicht mit den U2 beschäftigt.,41
