gold_label	English	German	Spanish	Swahili	Urdu	pairID
contradiction	entailment	entailment	entailment	entailment	neutral	4
entailment	neutral	neutral	neutral	neutral	entailment	5
neutral	contradiction	contradiction	entailment	entailment	entailment	6
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	7
entailment	neutral	neutral	neutral	neutral	contradiction	8
contradiction	entailment	entailment	entailment	entailment	contradiction	9
contradiction	entailment	entailment	entailment	entailment	contradiction	10
entailment	neutral	neutral	neutral	contradiction	entailment	11
neutral	contradiction	contradiction	contradiction	neutral	entailment	12
contradiction	entailment	entailment	entailment	entailment	entailment	13
entailment	neutral	entailment	entailment	entailment	contradiction	14
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	15
contradiction	entailment	entailment	entailment	entailment	entailment	19
entailment	neutral	neutral	neutral	contradiction	contradiction	20
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	21
contradiction	entailment	entailment	entailment	entailment	entailment	28
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	29
entailment	neutral	neutral	contradiction	neutral	neutral	30
contradiction	entailment	entailment	entailment	entailment	entailment	34
entailment	neutral	neutral	entailment	neutral	contradiction	35
neutral	contradiction	contradiction	entailment	contradiction	contradiction	36
entailment	neutral	neutral	neutral	entailment	contradiction	40
contradiction	entailment	entailment	entailment	entailment	contradiction	41
neutral	contradiction	entailment	contradiction	contradiction	contradiction	42
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	43
entailment	neutral	neutral	neutral	neutral	contradiction	44
contradiction	entailment	contradiction	contradiction	contradiction	contradiction	45
contradiction	entailment	entailment	entailment	contradiction	entailment	46
neutral	contradiction	contradiction	contradiction	entailment	contradiction	47
entailment	neutral	neutral	neutral	entailment	entailment	48
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	52
entailment	neutral	neutral	neutral	neutral	entailment	53
contradiction	entailment	entailment	entailment	entailment	entailment	54
entailment	neutral	neutral	neutral	contradiction	entailment	55
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	56
contradiction	entailment	entailment	entailment	entailment	entailment	57
contradiction	entailment	entailment	entailment	entailment	entailment	61
entailment	neutral	neutral	neutral	contradiction	contradiction	62
neutral	contradiction	contradiction	contradiction	entailment	contradiction	63
contradiction	entailment	entailment	entailment	entailment	entailment	67
neutral	neutral	neutral	neutral	neutral	neutral	68
entailment	neutral	neutral	neutral	neutral	neutral	69
contradiction	entailment	entailment	entailment	entailment	entailment	70
entailment	neutral	neutral	neutral	neutral	contradiction	71
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	72
entailment	contradiction	contradiction	contradiction	contradiction	contradiction	73
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	74
contradiction	entailment	entailment	entailment	entailment	entailment	75
entailment	neutral	neutral	neutral	contradiction	entailment	76
contradiction	entailment	entailment	entailment	entailment	contradiction	77
neutral	contradiction	contradiction	contradiction	entailment	contradiction	78
neutral	contradiction	contradiction	contradiction	contradiction	neutral	79
entailment	neutral	neutral	neutral	contradiction	neutral	80
contradiction	entailment	entailment	entailment	entailment	contradiction	81
entailment	neutral	neutral	neutral	neutral	neutral	88
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	89
contradiction	entailment	entailment	entailment	entailment	entailment	90
entailment	neutral	neutral	neutral	neutral	neutral	91
neutral	contradiction	contradiction	contradiction	contradiction	entailment	92
contradiction	entailment	entailment	entailment	entailment	entailment	93
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	94
entailment	neutral	neutral	neutral	contradiction	contradiction	95
contradiction	entailment	entailment	contradiction	contradiction	contradiction	96
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	106
entailment	neutral	entailment	neutral	neutral	neutral	107
contradiction	entailment	entailment	entailment	entailment	entailment	108
contradiction	entailment	entailment	contradiction	contradiction	entailment	109
entailment	neutral	neutral	neutral	neutral	neutral	110
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	111
neutral	contradiction	entailment	contradiction	entailment	contradiction	112
entailment	neutral	neutral	contradiction	entailment	contradiction	113
contradiction	entailment	entailment	entailment	contradiction	entailment	114
contradiction	entailment	entailment	entailment	entailment	entailment	118
neutral	contradiction	entailment	contradiction	entailment	contradiction	119
entailment	neutral	neutral	neutral	contradiction	neutral	120
neutral	contradiction	contradiction	contradiction	contradiction	entailment	127
contradiction	entailment	entailment	entailment	entailment	entailment	128
entailment	neutral	contradiction	neutral	contradiction	entailment	129
contradiction	entailment	entailment	entailment	entailment	entailment	130
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	131
entailment	neutral	neutral	neutral	neutral	neutral	132
entailment	contradiction	contradiction	contradiction	entailment	contradiction	133
contradiction	entailment	entailment	entailment	entailment	contradiction	134
neutral	contradiction	entailment	contradiction	entailment	contradiction	135
entailment	contradiction	contradiction	contradiction	contradiction	contradiction	142
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	143
contradiction	neutral	entailment	neutral	contradiction	entailment	144
contradiction	entailment	contradiction	contradiction	contradiction	contradiction	148
neutral	contradiction	entailment	contradiction	contradiction	contradiction	149
entailment	neutral	contradiction	contradiction	contradiction	neutral	150
neutral	contradiction	contradiction	contradiction	contradiction	contradiction	154
entailment	neutral	contradiction	contradiction	contradiction	contradiction	155
contradiction	contradiction	contradiction	contradiction	entailment	contradiction	156
neutral	entailment	contradiction	entailment	entailment	entailment	163
entailment	entailment	contradiction	contradiction	entailment	entailment	164
contradiction	contradiction	entailment	contradiction	entailment	entailment	165
neutral	contradiction	contradiction	neutral	neutral	contradiction	166
